algoritmo,aleatoria,crescente,decrescente
bolha,25038974,0,49995000
bolha-parada,25038974,0,49995000
insercao,25048973,9999,50004999
insercao-bin,25048973,9999,50004999
insercao-ter,25048973,9999,50004999
shell,268749,120005,182565
selecao,9990,0,5000
heap,124254,131956,116696
quick-centro,33856,5904,10904
quick-mediana,35004,5904,10904
merge,133616,133616,133616
radix,100000,100000,100000
bucket,2550640,29990,5024990


