"algoritmo","aleatoria","crescente","decrescente"
"bolha","nan","nan","nan"
"bolha-parada","nan","0.000366211","nan"
"insercao","nan","0.000937462","nan"
"insercao-bin","nan","0.012098551","nan"
"insercao-ter","nan","0.013160944","nan"
"shell","0.126871824","0.013895988","0.017968178"
"selecao","nan","nan","nan"
"heap","0.111006498","0.048102140","0.050829887"
"quick-centro","0.068959951","0.007274866","0.008491278"
"quick-mediana","0.069190264","0.007854223","0.008160114"
"merge","0.116347075","0.088405371","0.086262941"
"radix","0.036098003","0.031106234","0.033104897"
"bucket","nan","0.003863096","nan"

